N.,Data Invio,Clienti,Ordini,Titolo Commessa,Importo,Imponibile,Netto a pagare,Stato Fattura,Data Saldo,IVA,Tot Documento,Registro Movimenti,Calculation,Nome Cliente,Pagamenti,Esigibilità Iva,Spese per conto cliente,Riepilogo Fatture
25-30,29/12/2025,Comune di Genova - Sindaco,25-0021,Comunicazione Salis,"€4000,00","€4000,00","€4000,00",Inviata,,"€880,00","€4880,00",,1,Comune di Genova - Sindaco,,Scissione dei pagamenti,,
25-29,29/12/2025,Top Pulizie,25-0029,Sito vetrina WordPress con Copy SEO e Blog,"€4300,00","€4300,00","€5246,00",Inviata,,"€946,00","€5246,00",,1,Top Pulizie,Saldo 25-0029 Top Pulizie,Iva ad esigibilità immediata,,
25-28,29/12/2025,Ordine Ingegneri Genova ,24-0008,Strategia di comunicazione per il posizionamento e la visibilità online/ due anni ,"€3300,00","€3300,00","€3300,00",Inviata,,"€726,00","€4026,00",,1,Ordine Ingegneri Genova ,Rata 6 24-0008 Ordine Ingegneri Genova ,Scissione dei pagamenti,,
25-27,25/11/2025,Irida,25-0026,Servizi Video per Italia-Cile a Genova,"€1250,00","€1250,00","€1525,00",Saldata,26/11/2025,"€275,00","€1525,00",MOV-01262025,0,Irida,Saldo 25-0026 Irida,Iva ad esigibilità immediata,,
25-26,25/11/2025,Confindustria Genova,25-0025,Servizi Foto e Video per evento 80° Anniversario Confindustria,"€750,00","€750,00","€915,00",Inviata,,"€165,00","€915,00",,0,Confindustria Genova,Saldo 25-0025 Ausind,Iva ad esigibilità immediata,,
25-25,3/11/2025,Start 4.0,25-0014,Podcast da Remoto Essential,"€3000,00","€3000,00","€3660,00",Inviata,,"€660,00","€3660,00",,0,Start 4.0,,Iva ad esigibilità immediata,,
25-24,27/10/2025,AIGA Genova,25-0017,Servizi Foto e Video per evento,"€1250,00","€1250,00","€1525,00",Saldata,25/11/2025,"€275,00","€1525,00",MOV-01252025,0,AIGA Genova,Saldo 25-0017 AIGA Genova,Iva ad esigibilità immediata,,
25-23,13/10/2025,PRESSCOMM TECH,25-0015,Foto e video evento 16 luglio ,"€2750,00","€2750,00","€3355,00",Saldata,4/11/2025,"€605,00","€3355,00",MOV-01152025,0,PRESSCOMM TECH,"Saldo 25-0015 PRESSCOMM TECH,Saldo 25-0016 PRESSCOMM TECH",Iva ad esigibilità immediata,,
25-22,13/10/2025,Ordine Ingegneri Genova ,24-0008,Strategia di comunicazione per il posizionamento e la visibilità online/ due anni ,"€3300,00","€3300,00","€3300,00",Saldata,23/10/2025,"€726,00","€4026,00",MOV-01142025,0,Ordine Ingegneri Genova ,"Rata 5 24-0008 Ordine Ingegneri Genova ,Saldo 25-0016 PRESSCOMM TECH",Scissione dei pagamenti,,
25-21,3/10/2025,Ausind,25-0003,Realizzazione Video per ciclo di seminari 'Il Capitale nelle Imprese',"€820,00","€820,00","€1000,40",Inviata,,"€180,40","€1000,40",,0,Ausind,Saldo 25-0003 Ausind,Iva ad esigibilità immediata,,
25-20,3/10/2025,Ausind,25-0019,"Video Remix Eventi fino a 120""","€450,00","€450,00","€549,00",Inviata,,"€99,00","€549,00",,0,Ausind,Saldo 25-0019 Ausind,Iva ad esigibilità immediata,,
25-19,15/9/2025,Start 4.0,24-0011,Supporto attività di comunicazione 24 - 25 ,"€2500,00","€2500,00","€3050,00",Inviata,,"€550,00","€3050,00",,0,Start 4.0,,Iva ad esigibilità immediata,,
25-17,12/8/2025,Aqua,,,"€687,50","€687,50","€838,75",Saldata,23/7/2025,"€151,25","€838,75",MOV-00902025,0,Aqua,,Iva ad esigibilità immediata,,
25-16,25/7/2025,Ausind,25-0013,Servizio Foto e Video per Assemblea + Convegno “Mediterraneo”,"€750,00","€750,00","€915,00",Saldata,30/9/2025,"€165,00","€915,00",MOV-01102025,0,Ausind,,Iva ad esigibilità immediata,,
25-15,15/7/2025,Start 4.0,24-0018,START 4.0 - CTE VIDEO ,"€9000,00","€9000,00","€10980,00",Saldata,1/8/2025,"€1980,00","€10980,00",MOV-00932025,0,Start 4.0,"Saldo  24-0018 Start 4.0,Saldo 24-0018 Start 4.0",Iva ad esigibilità immediata,,
25-14,6/7/2025,Aqua,,,"€687,50","€687,50","€838,75",Saldata,24/6/2025,"€151,25","€838,75",MOV-00692025,0,Aqua,,Iva ad esigibilità immediata,,
25-13,4/7/2025,Ordine Ingegneri Genova ,24-0008,Strategia di comunicazione per il posizionamento e la visibilità online/ due anni ,"€3300,00","€3300,00","€3300,00",Saldata,11/7/2025,"€726,00","€4026,00",MOV-00792025,0,Ordine Ingegneri Genova ,Rata 4 24-0008 Ordine Ingegneri Genova ,Scissione dei pagamenti,,
25-12,30/6/2025,CNR IMATI,25-0008,Realizzazione n. 2 video di presentazione del progetto video – CNR IMATI / Museo Chiossone,"€2750,00","€2750,00","€2750,00",Saldata,9/7/2025,"€605,00","€3355,00",MOV-00772025,0,CNR IMATI,Saldo 25-0008 CNR IMATI,Scissione dei pagamenti,,
25-11,30/6/2025,Ausind,25-0011,"Servizi foto e video per evento ""PMI Networking evening 2025""","€750,00","€750,00","€915,00",Saldata,4/9/2025,"€165,00","€915,00",MOV-01032025,0,Ausind,,Iva ad esigibilità immediata,,
25-10,17/6/2025,TARA BIANCA ,24-0003,Restyling sito + consulenza social light ,"€2000,00","€2000,00","€2440,00",Saldata,23/7/2025,"€440,00","€2440,00",MOV-00892025,0,TARA BIANCA ,"Rata 3/4 24-0003 TARA BIANCA ,Rata 4/4 24-0003 TARA BIANCA ",Iva ad esigibilità immediata,,
25-6,19/5/2025,Fanimar,25-0007,Manutezione e assistenza sito web per 12 mesi,"€1200,00","€1200,00","€1464,00",Saldata,20/5/2025,"€264,00","€1464,00",MOV-00492025,0,Fanimar,Saldo 25-0007 Fanimar,Iva ad esigibilità immediata,,
25-5,19/5/2025,Aqua,24-0001,"Restyling logo, ristrutturazione del sito web con integrazione del booking engine","€1375,00","€1375,00","€1677,50",Saldata,23/5/2025,"€302,50","€1677,50",MOV-00542025,0,Aqua,Rata 3/4 24-0001 Aqua,Iva ad esigibilità immediata,,
25-4,19/5/2025,TARA BIANCA ,24-0003,Restyling sito + consulenza social light ,"€3000,00","€3000,00","€3660,00",Saldata,4/6/2025,"€660,00","€3660,00",MOV-00572025,0,TARA BIANCA ,Saldo a consegna sito  24-0003 TARA BIANCA ,Iva ad esigibilità immediata,,
25-3,6/4/2025,Ordine Ingegneri Genova ,24-0008,Strategia di comunicazione per il posizionamento e la visibilità online/ due anni ,"€3300,00","€3300,00","€3300,00",Saldata,9/4/2025,"€726,00","€4026,00",MOV-00382025,0,Ordine Ingegneri Genova ,,Scissione dei pagamenti,,
25-2,13/1/2025,TARA BIANCA ,24-0003,Restyling sito + consulenza social light ,"€2000,00","€2000,00","€2440,00",Saldata,14/1/2025,"€440,00","€2440,00",MOV-00042025,0,TARA BIANCA ,"Rata 2/4 24-0003 TARA BIANCA ,Rata 1/4  24-0003 TARA BIANCA ",Iva ad esigibilità immediata,,
25-1,13/1/2025,Ordine Ingegneri Genova ,24-0008,Strategia di comunicazione per il posizionamento e la visibilità online/ due anni ,"€3300,00","€3300,00","€3300,00",Saldata,16/1/2025,"€726,00","€4026,00",MOV-00052025,0,Ordine Ingegneri Genova ,Rata 2 24-0008 Ordine Ingegneri Genova ,Scissione dei pagamenti,,
24-22,29/12/2024,Vernazza Autogru,24-0033,Servizio di Assessment Strategico iniziale  ,"€2460,00","€2460,00","€3001,20",Saldata,9/1/2025,"€541,20","€3001,20",MOV-00022025,0,Vernazza Autogru,Saldo 24-0033 Vernazza Autogru,Iva ad esigibilità immediata,,
24-21,29/12/2024,Transmare,24-0034,Servizio di Assessment Strategico iniziale ,"€2460,00","€2460,00","€3001,20",Saldata,31/12/2024,"€541,20","€3001,20",MOV-00922024,0,Transmare,Saldo 24-0034 Transmare,Iva ad esigibilità immediata,,
24-20,29/12/2024,ARCO SRL,24-0035,Servizio di Assessment Strategico iniziale ,"€3280,00","€3280,00","€4001,60",Saldata,15/1/2025,"€721,60","€4001,60",MOV-00042025,0,ARCO SRL,Saldo 24-0035 ARCO SRL,Iva ad esigibilità immediata,,
24-19,16/12/2024,Aqua,24-0001,"Restyling logo, ristrutturazione del sito web con integrazione del booking engine","€1375,00","€1375,00","€1677,50",Saldata,12/3/2025,"€302,50","€1677,50",MOV-00272025,0,Aqua,Rata 2/4 24-0001 Aqua,Iva ad esigibilità immediata,,
24-18,16/12/2024,Edilporta,24-0042,Manutenzione & Assistenza sito web 12 mesi ,"€850,00","€850,00","€1037,00",Saldata,23/5/2025,"€187,00","€1037,00",MOV-00532025,0,Edilporta,Saldo 24-0042 Edilporta,Iva ad esigibilità immediata,,
24-16,16/12/2024,Ausind,24-0036,"Servizio fotografico ""Assemblea Pubblica Confindustria Genova 2024""","€350,00","€350,00","€427,00",Saldata,3/3/2025,"€77,00","€427,00",MOV-00192025,0,Ausind,Saldo 24-0036 Ausind,Iva ad esigibilità immediata,,
24-15,16/12/2024,Ausind,24-0028,Montaggio video con foto eventi,"€170,00","€170,00","€207,40",Inviata,,"€37,40","€207,40",,0,Ausind,Saldo 24-0028 Ausind,Iva ad esigibilità immediata,,
24-14,17/10/2024,Ordine Ingegneri Genova ,24-0008,Strategia di comunicazione per il posizionamento e la visibilità online/ due anni ,"€3300,00","€3300,00","€3300,00",Saldata,24/10/2024,"€726,00","€4026,00",MOV-00652024,0,Ordine Ingegneri Genova ,,Scissione dei pagamenti,,Fatture Attive
24-13,30/9/2024,Aqua,24-0001,"Restyling logo, ristrutturazione del sito web con integrazione del booking engine","€1375,00","€1375,00","€1677,50",Saldata,2/10/2024,"€302,50","€1677,50",MOV-00592024,0,Aqua,Rata 1/4 24-0001 Aqua,Iva ad esigibilità immediata,,Fatture Attive
24-12,17/9/2024,Fabio Gilardi Sindaco ,24-0009,Consulenza Vado - Gestione profili social e sito web ,"€2050,00","€2050,00","€2501,00",Saldata,23/12/2024,"€451,00","€2501,00","MOV-00712024,MOV-00792024",0,Fabio Gilardi Sindaco ,,Iva ad esigibilità immediata,,Fatture Attive
24-11,17/9/2024,Partito Democratico di Genova e della Liguria ,24-0004,Sviluppo sito web,"€3092,52","€3092,52","€3772,87",Saldata,24/12/2024,"€680,35","€3772,87",MOV-00812024,0,Partito Democratico di Genova e della Liguria ,,Iva ad esigibilità immediata,,Fatture Attive
24-10,17/9/2024,Gruppo Consiliare PD Regione Liguria ,24-0015,"Attività di supporto alle iniziative
del Gruppo consiliare e in
particolare nella Provincia di
Savona","€4500,00","€4500,00","€5490,00",Saldata,18/9/2024,"€990,00","€5490,00",MOV-00402024,0,Gruppo Consiliare PD Regione Liguria ,,Iva ad esigibilità immediata,,Fatture Attive
24-9,17/9/2024,Ordine Ingegneri Genova ,24-0008,Strategia di comunicazione per il posizionamento e la visibilità online/ due anni ,"€6600,00","€6600,00","€6600,00",Saldata,19/9/2024,"€1452,00","€8052,00",MOV-00412024,0,Ordine Ingegneri Genova ,,Scissione dei pagamenti,,Fatture Attive
24-8,4/9/2024,Ausind,24-0016,"Servizi foto e video per evento ""PMI Networking evening""","€750,00","€750,00","€915,00",Saldata,3/12/2024,"€165,00","€915,00",MOV-00762024,0,Ausind,,Iva ad esigibilità immediata,,Fatture Attive
24-7,1/7/2024,TARA BIANCA ,24-0003,Restyling sito + consulenza social light ,"€3000,00","€3000,00","€3660,00",Saldata,9/7/2024,"€660,00","€3660,00",MOV-00232024,0,TARA BIANCA ,Anticipo  24-0003 TARA BIANCA ,Iva ad esigibilità immediata,,Fatture Attive
24-6,10/6/2024,Confindustria Genova,24-0010,Video Presentazione Portale,"€1000,00","€1000,00","€1220,00",Saldata,8/7/2024,"€220,00","€1220,00",MOV-00212024,0,Confindustria Genova,Saldo 24-0010 Confindustria Genova,Iva ad esigibilità immediata,,Fatture Attive
24-5,31/5/2024,Fanimar,24-0013,Creazione documentazione in inglese,"€500,00","€500,00","€610,00",Saldata,3/6/2024,"€110,00","€610,00",MOV-00132024,0,Fanimar,Saldo 24-0013 Fanimar,Iva ad esigibilità immediata,,Fatture Attive
24-4,20/5/2024,Gruppo Consiliare PD Regione Liguria ,24-0015,"Attività di supporto alle iniziative
del Gruppo consiliare e in
particolare nella Provincia di
Savona","€5000,00","€5000,00","€6100,00",Saldata,23/5/2024,"€1100,00","€6100,00",MOV-00092024,0,Gruppo Consiliare PD Regione Liguria ,Anticipo 24-0015 Gruppo Consiliare PD Regione Liguria ,Iva ad esigibilità immediata,,Fatture Attive
24-3,20/5/2024,Aqua,24-0001,"Restyling logo, ristrutturazione del sito web con integrazione del booking engine","€1500,00","€1500,00","€1830,00",Saldata,4/6/2024,"€330,00","€1830,00",MOV-00142024,0,Aqua,Anticipo 24-0001 Aqua,Iva ad esigibilità immediata,,Fatture Attive
24-2,20/5/2024,PRESSCOMM TECH,24-0012,"Riprese Video Evento ""Festival Glocal 2024""","€900,00","€900,00","€1098,00",Saldata,30/5/2024,"€198,00","€1098,00",MOV-00122024,0,PRESSCOMM TECH,Saldo 24-0012 PRESSCOMM TECH,Iva ad esigibilità immediata,,Fatture Attive
24-1,16/4/2024,Fanimar,24-0002,Restyling del sito web + manutenzione assistenza 12 mesi,"€4950,00","€4950,00","€6039,00",Saldata,17/4/2024,"€1089,00","€6039,00",MOV-00062024,0,Fanimar,Saldo 24-0002 Fanimar,Iva ad esigibilità immediata,,Fatture Attive