Tariffa,Costo,Prezzo,Tags,Tipo tariffa,Margine,% Margine,Ordini,Ordini 2,Ordini 3,Table 8,Dettagli Tariffa,Registro Servizi Collaboratori copy,Template Servizi in Vendita,Area text
Uscita con attrezzatura professionale per la realizzazione del servizio,"€50,00","€150,00","Foto,Video",tariffa spot,"€100,00",67%,,,,"24-0010-1-Confindustria Genova,24-0012-1-PRESSCOMM TECH,24-0011--Start 4.0,24-0011-1-Start 4.0,24-0016-1-Ausind,24-0016-2-Ausind,24-0018--Start 4.0,24-0023-1-,24-0023-2-,24-0023-3-,24-0024--,24-0018-1-Start 4.0,24-0011--Start 4.0,24-0011-4-Start 4.0,24-0043--Comitato elettorale Andrea Orlando ,24-0043--Comitato elettorale Andrea Orlando ,24-0020-3-,24-0029-1-Ameri,24-0032-1-Ameri,24-0032-3-Ameri,24-0019--Columbia Group SRL ,24-0019--Columbia Group SRL ,24-0036-1-Ausind,24-0037-2-Ameri,24-0038-1-Celivo,24-0039-1-Ordine Ingegneri Genova ,24-0031-1-Start 4.0,24-0031-3-Start 4.0,24-0040-1-Start 4.0,24-0040--Start 4.0,24-0040-7-Start 4.0,24-0041-1-Start 4.0,25-0003-1-Ausind,24-0003-4-TARA BIANCA ,25-0008-1-CNR IMATI,25-0008-4-CNR IMATI,25-0009-1-SEC AND PARTNERS,25-0010-1-GLEEYE,24-0018-4-Start 4.0,24-0011-6-Start 4.0,25-0011-1-Ausind,25-0011-4-Ausind,24-0008-4-Ordine Ingegneri Genova ,24-0008-6-Ordine Ingegneri Genova ,25-0013-1-Ausind,25-0013-4-Ausind,25-0015-1-PRESSCOMM TECH,25-0016-1-PRESSCOMM TECH,25-0016-4-PRESSCOMM TECH,25-0017-1-AIGA Genova,25-0017-3-AIGA Genova,25-0017-5-AIGA Genova,25-0018-1-Ameri,25-0018-4-Ameri,25-0020-1-Confindustria Genova,25-0023-1-PRESSCOMM TECH,25-0025-1-Confindustria Genova,25-0025-4-Confindustria Genova,25-0026-1-Irida",,Video Explainer Pnrr,,"Foto, Video"
Tariffa oraria per la prestazione su set,"€25,00","€50,00","Foto,Video",tariffa oraria,"€25,00",50%,,,,"24-0010-2-Confindustria Genova,24-0011--Start 4.0,24-0012-2-PRESSCOMM TECH,24-0011--Start 4.0,24-0011-2-Start 4.0,24-0016-3-Ausind,24-0016-4-Ausind,24-0018--Start 4.0,24-0023-4-,24-0023-5-,24-0023-6-,24-0023-10-,24-0024--,24-0018-2-Start 4.0,24-0011-5-Start 4.0,24-0043--Comitato elettorale Andrea Orlando ,24-0043--Comitato elettorale Andrea Orlando ,24-0020-4-,24-0029-2-Ameri,24-0032-2-Ameri,24-0032-4-Ameri,24-0019--Columbia Group SRL ,24-0019--Columbia Group SRL ,24-0036-2-Ausind,24-0037-3-Ameri,24-0038-2-Celivo,24-0039-2-Ordine Ingegneri Genova ,24-0031-2-Start 4.0,24-0031-4-Start 4.0,24-0040-2-Start 4.0,24-0040-8-Start 4.0,24-0041-2-Start 4.0,25-0003-2-Ausind,24-0003-5-TARA BIANCA ,25-0008-2-CNR IMATI,25-0008-5-CNR IMATI,25-0009-2-SEC AND PARTNERS,25-0010-2-GLEEYE,24-0018-5-Start 4.0,24-0011-8-Start 4.0,25-0011-2-Ausind,25-0011-5-Ausind,24-0008-5-Ordine Ingegneri Genova ,24-0008-7-Ordine Ingegneri Genova ,25-0013-2-Ausind,25-0013-5-Ausind,25-0015-2-PRESSCOMM TECH,25-0015-3-PRESSCOMM TECH,25-0016-2-PRESSCOMM TECH,25-0016-5-PRESSCOMM TECH,25-0017-2-AIGA Genova,25-0017-4-AIGA Genova,25-0017-6-AIGA Genova,25-0018-2-Ameri,25-0018-5-Ameri,25-0020-2-Confindustria Genova,25-0023-2-PRESSCOMM TECH,25-0023-3-PRESSCOMM TECH,25-0025-2-Confindustria Genova,25-0025-5-Confindustria Genova,25-0026-2-Irida",,Video Explainer Pnrr,,"Foto, Video"
Tariffa oraria per la prestazione dell'assistente,"€15,00","€25,00","Foto,Video",tariffa oraria,"€10,00",40%,,,,"24-0037-4-Ameri,24-0040-5-Start 4.0",,,,"Foto, Video"
Editing e post-produzione,"€15,00","€30,00","Foto,Video",tariffa oraria,"€15,00",50%,,,,"24-0007-3-Banchero Costa Insurance,24-0010-3-Confindustria Genova,24-0011--Start 4.0,24-0011-3-Start 4.0,24-0016-5-Ausind,24-0016-6-Ausind,24-0018--Start 4.0,24-0023-7-,24-0023-8-,24-0023-9-,24-0024--,24-0025--,24-0018-3-Start 4.0,24-0011--Start 4.0,24-0011-6-Start 4.0,24-0043--Comitato elettorale Andrea Orlando ,24-0043--Comitato elettorale Andrea Orlando ,24-0028-1-Ausind,24-0029-3-Ameri,24-0032-6-Ameri,24-0032-5-Ameri,24-0019--Columbia Group SRL ,24-0019--Columbia Group SRL ,24-0036-3-Ausind,24-0030-2-Gruppo Frama,24-0037-5-Ameri,24-0038-3-Celivo,24-0039-3-Ordine Ingegneri Genova ,24-0040-3-Start 4.0,24-0040--Start 4.0,24-0041-3-Start 4.0,24-0020--,25-0003-3-Ausind,24-0003-6-TARA BIANCA ,25-0008-3-CNR IMATI,25-0008-9-CNR IMATI,25-0010-3-GLEEYE,24-0018-6-Start 4.0,24-0011-8-Start 4.0,25-0011-3-Ausind,25-0011-6-Ausind,25-0013-3-Ausind,25-0013-6-Ausind,25-0016-3-PRESSCOMM TECH,25-0016-6-PRESSCOMM TECH,25-0018-3-Ameri,25-0018-6-Ameri,25-0019-1-Ausind,25-0020-7-Confindustria Genova,25-0025-3-Confindustria Genova,25-0025-6-Confindustria Genova",,Video Explainer Pnrr,,"Foto, Video"
Allestimento set piccolo,"€0,00","€30,00","Foto,Video",tariffa spot,"€30,00",100%,,,,24-0040-4-Start 4.0,,,,"Foto, Video"
Allestimento set grande (fondale + luci),"€0,00","€100,00","Foto,Video",tariffa spot,"€100,00",100%,,,,25-0004-1-Ameri,,Video Zoom Software House,,"Foto, Video"
Consegna in tempo reale,"€10,00","€30,00",Foto,tariffa oraria,"€20,00",67%,,,,24-0043--Comitato elettorale Andrea Orlando ,,,,Foto
Consegna in giornata,"€20,00","€50,00",Foto,tariffa spot,"€30,00",60%,,,,24-0040-10-Start 4.0,,,,Foto
Restyling Logo,"€250,00","€600,00",Grafica,tariffa spot,"€350,00",58%,,,,24-0001-1-Aqua,,,,Grafica
Creazione Brand Guideline Logo,"€100,00","€250,00",Grafica,tariffa spot,"€150,00",60%,,,,24-0001-2-Aqua,,,,Grafica
Progettazione del Sito Web,"€20,00","€50,00",Siti Web & E-commerce,tariffa oraria,"€30,00",60%,,,,"24-0002-1-Fanimar,24-0003-1-TARA BIANCA ,24-0004--Partito Democratico di Genova e della Liguria ",,,,Siti Web & E-commerce
Sviluppo Sito Web con CMS Wordpress,"€20,00","€50,00",Siti Web & E-commerce,tariffa oraria,"€30,00",60%,,,,"24-0002-2-Fanimar,24-0001-3-Aqua,24-0003-2-TARA BIANCA ,24-0004--Partito Democratico di Genova e della Liguria ,24-0020-2-,24-0022--,25-0029-1-Top Pulizie",,,,Siti Web & E-commerce
Sviluppo Design Sito Web,"€20,00","€50,00",Siti Web & E-commerce,tariffa oraria,"€30,00",60%,,,,"24-0002-3-Fanimar,24-0001-4-Aqua,24-0004--Partito Democratico di Genova e della Liguria ",,,,Siti Web & E-commerce
Installazione e Configurazione dei Plugin,"€20,00","€50,00",Siti Web & E-commerce,tariffa oraria,"€30,00",60%,,,,"24-0002-4-Fanimar,24-0001-5-Aqua,24-0004--Partito Democratico di Genova e della Liguria ,24-0017-1-Fanimar,24-0027--Camera di Commercio Genova ",,,,Siti Web & E-commerce
Integrazione dei contenuti,"€20,00","€50,00",Siti Web & E-commerce,tariffa oraria,"€30,00",60%,,,,"24-0002-5-Fanimar,24-0001-6-Aqua,24-0004--Partito Democratico di Genova e della Liguria ,24-0027--Camera di Commercio Genova ",,,,Siti Web & E-commerce
Ottimizzazione SEO,"€20,00","€50,00",Siti Web & E-commerce,tariffa oraria,"€30,00",60%,,,,"24-0002-6-Fanimar,24-0001-7-Aqua,24-0004--Partito Democratico di Genova e della Liguria ",,,,Siti Web & E-commerce
Manutenzione Sito Web Vetrina,"€30,00","€50,00",Siti Web & E-commerce,tariffa mensile,"€20,00",40%,,,,24-0004--Partito Democratico di Genova e della Liguria ,,,,Siti Web & E-commerce
Manutenzione e Assistenza Sito Web Vetrina,"€40,00","€100,00",Siti Web & E-commerce,tariffa mensile,"€60,00",60%,,,,"24-0002-7-Fanimar,24-0001-8-Aqua,24-0027--Camera di Commercio Genova ,24-0042-1-Edilporta,25-0006-1-Aqua,25-0007-1-Fanimar,25-0029-2-Top Pulizie",,,,Siti Web & E-commerce
Ottimizzazione Testi Sito Web Vetrina,"€20,00","€50,00",Copywriting,tariffa oraria,"€30,00",60%,,,,25-0029-3-Top Pulizie,,,,Copywriting
Sviluppo del concept,"€20,00","€50,00",Video,tariffa oraria,"€30,00",60%,,,,24-0007-1-Banchero Costa Insurance,,,,Video
Sviluppo della Sceneggiatura,"€20,00","€50,00",Video,tariffa oraria,"€30,00",60%,,,,,,,,Video
Creazione dello Storyboard,"€20,00","€50,00",Video,tariffa oraria,"€30,00",60%,,,,25-0010-4-GLEEYE,,Video Explainer Pnrr,,Video
"Attività di Pre-Produzione, Pianificazione, Organizzazione Set Video","€15,00","€30,00",Video,tariffa oraria,"€15,00",50%,,,,"24-0037-1-Ameri,24-0041-4-Start 4.0,25-0010-5-GLEEYE",,Video Explainer Pnrr,,Video
Raccolta materiale,"€15,00","€30,00",Video,tariffa oraria,"€15,00",50%,,,,"24-0007-2-Banchero Costa Insurance,24-0041-5-Start 4.0",,,,Video
Servizi grafica,"€20,00","€50,00",Grafica,tariffa oraria,"€30,00",60%,,,,"24-0009--Fabio Gilardi Sindaco ,24-0013-1-Fanimar,24-0020-1-,24-0022--,24-0027--Camera di Commercio Genova ,24-0008-3-Ordine Ingegneri Genova ,25-0001--Roberto Arboscello - Vicepresidente Consiglio Regionale della Liguria ,25-0005-1-,25-0014-7-Start 4.0,--,25-0022-1-GLEEYE",,"Company Profile 10PAG,Podcast da Remoto Essential",,Grafica
Servizi social,"€20,00","€50,00",Social Media,tariffa oraria,"€30,00",60%,,,,"24-0006--Partito Democratico di Genova e della Liguria ,24-0009--Fabio Gilardi Sindaco ,24-0011--Start 4.0,24-0014--Serteco Volley School Genova ,24-0022--,24-0008-2-Ordine Ingegneri Genova ,24-0009--Fabio Gilardi Sindaco ,24-0020-5-,24-0032-7-Ameri,24-0030-1-Gruppo Frama,25-0001--Roberto Arboscello - Vicepresidente Consiglio Regionale della Liguria ",,,,Social Media
Consulenza Social,"€50,00","€100,00",Social Media,tariffa oraria,"€50,00",50%,,,,"24-0003-3-TARA BIANCA ,24-0006--Partito Democratico di Genova e della Liguria ,24-0014--Serteco Volley School Genova ,24-0022--,24-0008-1-Ordine Ingegneri Genova ",,,,Social Media
Monitoraggio legislativo,"€20,00","€60,00",Media & Public Relations,tariffa oraria,"€40,00",67%,,,,24-0005-1-IIT - Istituto Italiano di Tecnologia,,,,Media & Public Relations
Monitoraggio eventi ed attività istituzionali ,"€20,00","€60,00",Media & Public Relations,tariffa oraria,"€40,00",67%,,,,"24-0005-2-IIT - Istituto Italiano di Tecnologia,24-0026--Chiappe Revello ",,,,Media & Public Relations
Cura dei contatti istituzionali e stakeholder PR,"€20,00","€60,00",Media & Public Relations,tariffa oraria,"€40,00",67%,,,,24-0005-3-IIT - Istituto Italiano di Tecnologia,,,,Media & Public Relations
Setup tecnico,"€20,00","€50,00",Podcast,tariffa oraria,"€30,00",60%,,,,25-0014-2-Start 4.0,,Podcast da Remoto Essential,,Podcast
Setup iniziale del Podcast,"€25,00","€60,00",Podcast,tariffa oraria,"€35,00",58%,,,,"25-0014-1-Start 4.0,25-0024-1- Centofiori Fondazione ",,Podcast da Remoto Essential,,Podcast
Regia da remoto,"€20,00","€50,00",Podcast,tariffa oraria,"€30,00",60%,,,,25-0014-3-Start 4.0,,Podcast da Remoto Essential,,Podcast
Montaggio Podcast,"€20,00","€50,00",Podcast,tariffa oraria,"€30,00",60%,,,,"25-0014-4-Start 4.0,25-0014-6-Start 4.0,25-0014-8-Start 4.0",,"Podcast da Remoto Essential,Podcast da Remoto Essential",,Podcast
Pubblicazione e report,"€15,00","€40,00",Podcast,tariffa oraria,"€25,00",63%,,,,25-0014-5-Start 4.0,,Podcast da Remoto Essential,,Podcast